,param_n_components,RMSE_train,RMSE_train_baseline,MAE_train,MAE_train_baseline,RMSE_test,RMSE_test_baseline,MAE_test,MAE_test_baseline
0,5,0.8070859448822526,0.9165442167621779,0.620266346014627,0.7123483506763685,0.8001158100417658,0.905646813101525,0.6130229980316793,0.7012560318013926
0,10,0.7840073257615079,0.9165442167621779,0.60127866485409,0.7123483506763685,0.779729695472798,0.905646813101525,0.5958379428906256,0.7012560318013926
0,15,0.7695569232619792,0.9165442167621779,0.589746526296494,0.7123483506763685,0.7692811993106641,0.905646813101525,0.5869052584779852,0.7012560318013926
0,20,0.7585344805746037,0.9165442167621779,0.5810847303552141,0.7123483506763685,0.7620923637097349,0.905646813101525,0.5809277701274961,0.7012560318013926
0,25,0.7492110982251176,0.9165442167621779,0.5739966263797427,0.7123483506763685,0.7570143540708064,0.905646813101525,0.5767229661642654,0.7012560318013926
0,30,0.740707714598946,0.9165442167621779,0.5675718063227801,0.7123483506763685,0.7524495393706039,0.905646813101525,0.5728820555557196,0.7012560318013926
0,35,0.7332211947764734,0.9165442167621779,0.5618919153718117,0.7123483506763685,0.7490124629979013,0.905646813101525,0.5700497018741758,0.7012560318013926
0,40,0.7263255976432239,0.9165442167621779,0.5566392168753435,0.7123483506763685,0.7456838997952376,0.905646813101525,0.5672997556650078,0.7012560318013926
0,45,0.7197228984286439,0.9165442167621779,0.5515925169425464,0.7123483506763685,0.7424129295942011,0.905646813101525,0.5644863945093963,0.7012560318013926
0,50,0.7134274368149619,0.9165442167621779,0.5467636206392964,0.7123483506763685,0.7395660009888106,0.905646813101525,0.5620134640597725,0.7012560318013926
0,55,0.7073740302238783,0.9165442167621779,0.5421171462809753,0.7123483506763685,0.736843709835273,0.905646813101525,0.5597328562050667,0.7012560318013926
0,60,0.7015035075838674,0.9165442167621779,0.5377302990759196,0.7123483506763685,0.7342879916000176,0.905646813101525,0.5575836705058391,0.7012560318013926
0,65,0.6958127046593768,0.9165442167621779,0.5334255551414842,0.7123483506763685,0.7321013015879748,0.905646813101525,0.5557102840619352,0.7012560318013926
0,70,0.6903005657470683,0.9165442167621779,0.529230532495229,0.7123483506763685,0.7297902188982944,0.905646813101525,0.5537619423606644,0.7012560318013926
0,75,0.6849561047160188,0.9165442167621779,0.5252011538632883,0.7123483506763685,0.727755229129235,0.905646813101525,0.5519993871390474,0.7012560318013926
